2,superBanana,375.276,blue
3,lonelyAvocado,497.346,white
10,lonelyWatemelon,290.628,green
11,lonelyMango,476.961,black
4,happyMango,443.175,yellow
32501,lonelyBanana,345.865,red
60553,boringWatemelon,495.753,blue
196063,superWatemelon,335.307,green
106872,coolBanana,404.49,yellow
57074,coolPumpkin,119.786,purple
193075,happyWatemelon,449.681,yellow
94739,amazingAvocado,272.762,orange
31050,superWatemelon,345.998,yellow
87090,lonelyPumpkin,364.622,white
187530,sadAvocado,362.509,purple
93374,boringBanana,480.591,blue
21235,amazingTangerine,375.893,red
74793,superApple,474.316,red
85114,amazingAvocado,446.914,blue
58946,amazingBanana,372.493,blue
9113,coolAvocado,373.147,pink
110529,amazingApple,201.287,white
161704,sadMango,150.656,purple
176636,superMango,346.644,red
159400,superWatemelon,156.314,black
13285,happyWatemelon,480.448,green
75906,boringAvocado,446.214,purple
97182,lonelyApple,358.762,yellow
12967,lonelyMango,354.63,orange
50596,lonelyAvocado,447.859,blue
24525,boringTangerine,363.926,red
150600,lonelyApple,372.656,red
13054,superBanana,471.887,green
52019,boringBanana,235.614,white
156770,superApple,132.884,pink
157456,superApple,463.119,yellow
7100,amazingApple,341.399,pink
34221,superMango,432.783,blue
60217,lonelyAvocado,410.144,green
39656,superApple,312.002,white
74248,boringApple,208.911,green
76953,lonelyPumpkin,488.607,black
149083,coolBanana,325.938,purple
130689,sadMango,110.593,red
94828,boringApple,406.904,yellow
12061,boringTangerine,478.785,red
21766,sadWatemelon,497.837,white
119436,lonelyTangerine,484.618,white
37385,sadBanana,186.089,pink
148834,amazingTangerine,319.368,black
60293,sadTangerine,488.917,orange
167404,boringApple,359.528,green
38169,coolPumpkin,421.71,green
57413,lonelyPumpkin,424.25,blue
90833,happyPumpkin,337.659,orange
103821,coolApple,377.025,yellow
138990,boringAvocado,375.684,blue
177412,sadTangerine,386.388,yellow
20481,amazingMango,489.581,black
15285,boringTangerine,486.9,green
105541,coolMango,345.805,red
62748,amazingPumpkin,392.617,blue
31343,superBanana,369.947,blue
44207,sadPumpkin,442.445,blue
151250,sadAvocado,219.652,black
31714,amazingWatemelon,223.9,purple
146539,superPumpkin,455.18,green
151822,coolBanana,313.856,black
60016,amazingApple,452.917,white
14736,superBanana,307.56,green
110712,lonelyMango,467.698,yellow
107355,coolWatemelon,462.705,orange
179728,superMango,480.013,green
122736,boringTangerine,124.336,white
17675,amazingTangerine,374.997,white
155465,sadAvocado,129.62,white
30954,sadAvocado,451.159,red
41747,amazingWatemelon,188.364,pink
105768,sadBanana,454.499,yellow
121672,coolPumpkin,302.908,pink
191160,coolApple,309.851,white
189606,happyBanana,210.35,green
43510,amazingTangerine,387.466,pink
179419,sadTangerine,418.843,black
2950,happyBanana,328.128,purple
102817,happyTangerine,449.366,orange
97024,happyAvocado,188.12,white
98268,amazingPumpkin,141.164,green
122682,superMango,427.364,blue
170112,sadBanana,499.311,pink
59079,amazingAvocado,465.597,orange
154303,boringMango,379.383,yellow
178928,happyMango,306.608,pink
405,coolMango,488.807,red
192319,lonelyAvocado,403.589,black
154054,coolTangerine,486.105,white
3784,amazingPumpkin,287.697,orange
46134,boringWatemelon,457.802,yellow
79619,amazingMango,396.553,pink
163131,happyWatemelon,404.251,blue
37259,superBanana,235.032,orange
133086,lonelyPumpkin,147.568,white
174973,boringWatemelon,360.313,yellow
74366,happyTangerine,309.804,blue
64808,happyWatemelon,150.344,orange
79515,superBanana,322.565,green
89403,superTangerine,166.018,yellow
38894,superTangerine,409.618,blue
175861,lonelyBanana,143.59,purple
40951,happyMango,482.679,blue
122186,boringAvocado,461.362,black
182925,superBanana,235.287,blue
197296,boringPumpkin,370.717,orange
67181,boringApple,408.428,purple
110972,lonelyWatemelon,498.364,pink
43640,happyMango,338.042,white
173895,amazingMango,330.873,pink
154383,superMango,387.916,black
97677,happyBanana,357.82,yellow
108879,coolAvocado,232.096,purple
127506,amazingBanana,267.998,black
113000,sadBanana,376.006,orange
157157,coolBanana,293.789,green
70340,boringBanana,439.823,orange
49632,happyAvocado,341.766,green
12436,sadTangerine,443.633,yellow
185943,happyApple,315.501,green
150172,coolTangerine,496.788,orange
90949,boringPumpkin,371.841,green
66674,coolWatemelon,335.919,purple
179128,sadPumpkin,304.574,red
191004,coolAvocado,319.547,pink
105944,happyTangerine,423.405,green
104114,happyMango,164.834,purple
60202,boringWatemelon,467.094,blue
131011,sadApple,190.477,blue
126610,superMango,396.99,green
35319,sadAvocado,394.505,green
168507,coolWatemelon,423.841,purple
151929,boringWatemelon,441.285,pink
144586,sadMango,379.05,purple
8673,amazingApple,350.241,black
26984,amazingWatemelon,301.955,pink
185199,superMango,213.97,orange
101121,amazingMango,341.085,white
92994,happyBanana,372.25,pink
27059,boringPumpkin,203.051,green
107631,amazingAvocado,130.121,green
90035,superWatemelon,305.041,black
10844,sadPumpkin,446.149,pink
67087,boringTangerine,402.902,pink
182817,boringMango,307.142,green
164909,boringApple,308.458,black
143872,amazingBanana,396.808,pink
24713,sadPumpkin,171.74,purple
110292,lonelyBanana,102.687,purple
96378,sadWatemelon,103.722,pink
176042,sadWatemelon,155.802,red
108436,happyWatemelon,310.022,pink
86876,sadMango,466.704,yellow
198169,superWatemelon,385.124,blue
69686,happyTangerine,419.856,green
187123,boringMango,325.466,pink
188643,sadAvocado,232.704,blue
195267,sadAvocado,397.348,purple
198750,boringTangerine,120.335,green
147191,lonelyBanana,374.704,purple
185601,amazingBanana,441.77,green
18559,happyMango,355.82,black
100400,boringTangerine,346.228,yellow
157462,amazingPumpkin,384.172,orange
169138,superAvocado,133.814,green
143360,superMango,356.55,black
151592,happyPumpkin,343.898,orange
48193,sadMango,287.793,green
115405,superMango,292.994,purple
37806,boringMango,494.838,yellow
147577,boringWatemelon,443.368,black
152075,coolApple,458.03,green
113615,amazingBanana,433.753,purple
107000,happyApple,478.278,green
27295,boringPumpkin,413.401,purple
56915,superBanana,386.741,pink
85371,superBanana,457.418,blue
74423,happyWatemelon,352.646,blue
109889,lonelyApple,184.613,yellow
1076,superTangerine,465.519,orange
68765,boringAvocado,303.411,red
154148,boringAvocado,396.661,red
